created_at,id,full_text,cleaned_text,entities,retweet_count,favorite_count,CountyId,user_name,user_followers_count,user_friends_count,user_listed_count,favourites_count,user_location,geo
2020-04-09 19:32:20+00:00,1248332940888563712,"When your pup demands the oreo in your hand and there’s nowhere to run 😁
.
.
#quarantinelife #rescuepup #doggydaddy #thechase #cookie #adoptdontshop #partnerincrime #sidekick #fargo #northdakota #actor #emcee #host… https://t.co/DOoHIbMiAC","pup demands oreo hand ’ nowhere run 😁 quarantinelife rescuepup doggydaddy thechase cookie adoptdontshop panerincrime sidekick fargo nohdakota actor emcee host…
","{'hashtags': [{'text': 'quarantinelife', 'indices': [77, 92]}, {'text': 'rescuepup', 'indices': [93, 103]}, {'text': 'doggydaddy', 'indices': [104, 115]}, {'text': 'thechase', 'indices': [116, 125]}, {'text': 'cookie', 'indices': [126, 133]}, {'text': 'adoptdontshop', 'indices': [134, 148]}, {'text': 'partnerincrime', 'indices': [149, 164]}, {'text': 'sidekick', 'indices': [165, 174]}, {'text': 'fargo', 'indices': [175, 181]}, {'text': 'northdakota', 'indices': [182, 194]}, {'text': 'actor', 'indices': [195, 201]}, {'text': 'emcee', 'indices': [202, 208]}, {'text': 'host', 'indices': [209, 214]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DOoHIbMiAC', 'expanded_url': 'https://www.instagram.com/p/B-xZkxbJOG3/?igshid=hxnxw9v8qcd5', 'display_url': 'instagram.com/p/B-xZkxbJOG3/…', 'indices': [216, 239]}]}",0,0,13065,Travis,1319,4097,8,24797,"Fargo, North Dakota","[-96.7847, 46.8789]"
2020-04-09 19:32:29+00:00,1248332979144929282,The Courses at Watters Creek COVID-19 Update https://t.co/cbdAbFwiPk,"courses watters creek update
","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/cbdAbFwiPk', 'expanded_url': 'http://bubly.us/2Cvfd', 'display_url': 'bubly.us/2Cvfd', 'indices': [45, 68]}]}",0,0,1025,"Allen, TX News",2035,1909,21,12,"Allen, Texas","[-96.61699677, 33.08710098]"
2020-04-09 19:33:54+00:00,1248333335337799680,April 8th: Judge Jenkins Issues Updated COVID-19 Order https://t.co/9xGgkM9lzb,"april th judge jenkins issues updated order
","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9xGgkM9lzb', 'expanded_url': 'http://bubly.us/2Cvg6', 'display_url': 'bubly.us/2Cvg6', 'indices': [55, 78]}]}",0,0,29099,"DeSoto, TX News",572,1081,10,1,"DeSoto, Texas","[-96.86669922, 32.59680176]"
2020-04-09 19:33:55+00:00,1248333339372683266,Coronavirus In Texas: Fort Worth Woman Is 20th Death For Tarrant County https://t.co/MRWyIzjiKo,"texas fo woh woman th death tarrant county
","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/MRWyIzjiKo', 'expanded_url': 'http://bubly.us/2CvgB', 'display_url': 'bubly.us/2CvgB', 'indices': [72, 95]}]}",0,0,48113,Grand Prairie News,917,1100,13,1,"Grand Prairie, Texas","[-97.00299835, 32.76839828]"
2020-04-09 19:34:31+00:00,1248333490321534977,"Back when not social distancing meant gay bathroom selfies in Provincetown. Miss you ladies!
#fourqueens #bathroomselfies #homosexualsdothedarnestthings @ Provincetown, Massachusetts https://t.co/k4pO2svHtZ","back social distancing meant gay bathroom selfies provincetown miss ladies fourqueens bathroomselfies homosexualsdothedarnestthings provincetown massachusetts
","{'hashtags': [{'text': 'fourqueens', 'indices': [93, 104]}, {'text': 'bathroomselfies', 'indices': [105, 121]}, {'text': 'homosexualsdothedarnestthings', 'indices': [122, 152]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/k4pO2svHtZ', 'expanded_url': 'https://www.instagram.com/p/B-xaNLmh5MH/?igshid=13uc4o6q22ep1', 'display_url': 'instagram.com/p/B-xaNLmh5MH/…', 'indices': [183, 206]}]}",0,0,36061,Michael DeVellis,3703,138,55,448,new york city,"[-70.17916667, 42.05833333]"
2020-04-09 19:55:28+00:00,1248338763333472264,"Social distancing attire. Aydan is still in PJ pants. Huge thanks to @knarkill and @cmpclothing for the dope shirt. @ Sunnyvale, California https://t.co/p3HkK66w6H","social distancing attire aydan still pj pants huge thanks knarkill cmpclothing dope shi sunnyvale california
","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'knarkill', 'name': 'Cliff Fretwell', 'id': 37235061, 'id_str': '37235061', 'indices': [69, 78]}, {'screen_name': 'cmpclothing', 'name': 'Compound Sportswear', 'id': 538514113, 'id_str': '538514113', 'indices': [83, 95]}], 'urls': [{'url': 'https://t.co/p3HkK66w6H', 'expanded_url': 'https://www.instagram.com/p/B-xcmxBjYTW/?igshid=e9z2hb3ka5eq', 'display_url': 'instagram.com/p/B-xcmxBjYTW/…', 'indices': [140, 163]}]}",0,2,6085,Daniel McCune,58,193,2,231,"Sunnyvale, CA","[-122.026, 37.372]"
2020-04-09 19:55:30+00:00,1248338770887393281,"#ThursdayThought: With all that’s going on in our world (and with my work schedule), these are the little moments #athome that I so cherish 🥰 #stayhome #stayhealthy #worklifebalance @ Johns Creek, Georgia https://t.co/SOlHDWEMl3","thursdaythought ’ going world work schedule little moments athome cherish 🥰 stayhome stayhealthy worklifebalance johns creek georgia
","{'hashtags': [{'text': 'ThursdayThought', 'indices': [0, 16]}, {'text': 'athome', 'indices': [114, 121]}, {'text': 'stayhome', 'indices': [142, 151]}, {'text': 'stayhealthy', 'indices': [152, 164]}, {'text': 'worklifebalance', 'indices': [165, 181]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/SOlHDWEMl3', 'expanded_url': 'https://www.instagram.com/p/B-xbjAHn0Lj/?igshid=y8zuakrrnfc8', 'display_url': 'instagram.com/p/B-xbjAHn0Lj/…', 'indices': [205, 228]}]}",0,0,13121,Dr. Nina Cherie Franklin,1567,465,203,900,"Atlanta, GA","[-84.1899, 34.018]"
2020-04-09 19:56:02+00:00,1248338905381965826,"Social distancing some people need to learn this! Especially in the grocery stores!
#socialdistancing @ Northglenn, Colorado https://t.co/28MoLPgxRe","social distancing people need learn especially grocery stores socialdistancing nohglenn colorado
","{'hashtags': [{'text': 'socialdistancing', 'indices': [84, 101]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/28MoLPgxRe', 'expanded_url': 'https://www.instagram.com/p/B-xcq72j4b6/?igshid=1xp9qcbvv5g10', 'display_url': 'instagram.com/p/B-xcq72j4b6/…', 'indices': [125, 148]}]}",0,0,8001,JEFF COPD WATERS,447,656,8,202,"Denver, CO","[-104.9875, 39.892]"
2020-04-09 19:56:35+00:00,1248339043596763139,"Sending a big thanks to the social workers and chaplains at Mansfield Methodist Hospital, who were treated to lunch from Lifeline Chaplaincy. 
.
.
.
#pastoralcare #socialworkers #chaplains #hospitalministry #covid19… https://t.co/9vrjQ4E4p4","sending big thanks social workers chaplains mansfield methodist hospital treated lunch lifeline chaplaincy pastoralcare socialworkers chaplains hospitalministry …
","{'hashtags': [{'text': 'pastoralcare', 'indices': [149, 162]}, {'text': 'socialworkers', 'indices': [163, 177]}, {'text': 'chaplains', 'indices': [178, 188]}, {'text': 'hospitalministry', 'indices': [189, 206]}, {'text': 'covid19', 'indices': [207, 215]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9vrjQ4E4p4', 'expanded_url': 'https://www.instagram.com/p/B-xcvA3nnng/?igshid=usidvzwxi4pt', 'display_url': 'instagram.com/p/B-xcvA3nnng/…', 'indices': [217, 240]}]}",0,0,48157,Lifeline Chaplaincy,189,279,3,32,"Houston, TX","[-97.09508288, 32.56796478]"
2020-04-08 19:08:40+00:00,1247964596977258504,"When you have nothing better to do, you go hiking in a sequined dress! 😍🤷‍♀️ 
.
.
.
#busyizzy #newnormal #socialdistancing #bevigilant #stayhealthy #staysafe #outdoors #covi̇d_19… https://t.co/U4oPwwLccP","nothing better go hiking sequined dress 😍🤷‍♀️ busyizzy newnormal socialdistancing bevigilant stayhealthy staysafe outdoors covi̇d…
","{'hashtags': [{'text': 'busyizzy', 'indices': [84, 93]}, {'text': 'newnormal', 'indices': [94, 104]}, {'text': 'socialdistancing', 'indices': [105, 122]}, {'text': 'bevigilant', 'indices': [123, 134]}, {'text': 'stayhealthy', 'indices': [135, 147]}, {'text': 'staysafe', 'indices': [148, 157]}, {'text': 'outdoors', 'indices': [158, 167]}, {'text': 'covi̇d_19', 'indices': [168, 178]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/U4oPwwLccP', 'expanded_url': 'https://www.instagram.com/p/B-uycq4Dfuf1vBrPWAT6SKsRgOiJsWc4fDDONQ0/?igshid=o6dcikgdkcfw', 'display_url': 'instagram.com/p/B-uycq4Dfuf1…', 'indices': [180, 203]}]}",0,0,,Nichole Masters,10,43,2,39,,"[-75.67324, 39.34376]"
2020-04-08 19:10:44+00:00,1247965117209165824,"Join Evolution in an evening of prayer for hospitals on Friday, April 10th, at 8 pm. We are gathering hundreds of families who want to say “thank you” to hospitals and their staff for their service fighting COVID-19… https://t.co/EM1CN2HRUI","join evolution evening prayer hospitals friday april th pm gathering hundreds families want say “ thank ” hospitals staff service fighting …
","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/EM1CN2HRUI', 'expanded_url': 'https://www.instagram.com/p/B-uysSWhilo/?igshid=7cnm7rf92bdd', 'display_url': 'instagram.com/p/B-uysSWhilo/…', 'indices': [217, 240]}]}",0,0,39061,Evolution creative,147,149,4,260,"Cincinnati, OH","[-84.5, 39.13333333]"
2020-04-08 19:12:01+00:00,1247965440174850049,"Finding inspiration: What have you been doing with your creativity while at home? Comment below and share!
.
.
.
.
#alrightjunior #inspiration #creativity #togetherathome #stayhome #staysafe #stayhealthy @… https://t.co/JpV6I5Z0yB","finding inspiration creativity home comment share alrightjunior inspiration creativity togetherathome stayhome staysafe stayhealthy …
","{'hashtags': [{'text': 'alrightjunior', 'indices': [115, 129]}, {'text': 'inspiration', 'indices': [130, 142]}, {'text': 'creativity', 'indices': [143, 154]}, {'text': 'togetherathome', 'indices': [155, 170]}, {'text': 'stayhome', 'indices': [171, 180]}, {'text': 'staysafe', 'indices': [181, 190]}, {'text': 'stayhealthy', 'indices': [191, 203]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/JpV6I5Z0yB', 'expanded_url': 'https://www.instagram.com/p/B-uy1gDDx7t/?igshid=9kw3gst8z4ry', 'display_url': 'instagram.com/p/B-uy1gDDx7t/…', 'indices': [207, 230]}]}",0,0,42101,Alright Junior,540,674,9,2579,"Philadelphia, PA","[-75.1651, 39.9527]"
2020-04-08 19:12:05+00:00,1247965457304428546,"While Praying with Prophet Henderson today God highlighted the ""Far"" in this #Prayer and said, no Social Distancing can stop Him from doing the #Exceedingly and #Abundantly Because of His… https://t.co/J6anVnsvlk","praying prophet henderson today god highlighted far prayer said social distancing stop exceedingly abundantly his…
","{'hashtags': [{'text': 'Prayer', 'indices': [77, 84]}, {'text': 'Exceedingly', 'indices': [144, 156]}, {'text': 'Abundantly', 'indices': [161, 172]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/J6anVnsvlk', 'expanded_url': 'https://www.instagram.com/p/B-uy162ltdmj-MjlESUc3tAvM4xCSLVSAylAWk0/?igshid=1s9p5rix0cyke', 'display_url': 'instagram.com/p/B-uy162ltdmj…', 'indices': [189, 212]}]}",0,0,39051,R Carter Thomas ⌚,1254,2363,26,19318,"Wauseon, OH","[-83.60315, 41.66305]"
2020-04-08 19:32:50+00:00,1247970679019819010,DONT JUDGE ME 😂 #silly #comedy #quarantine #stayhome @ Yo Mama House... https://t.co/uRpWJsQjud,"dont judge 😂 silly comedy quarantine stayhome yo mama house
","{'hashtags': [{'text': 'silly', 'indices': [16, 22]}, {'text': 'comedy', 'indices': [23, 30]}, {'text': 'quarantine', 'indices': [31, 42]}, {'text': 'stayhome', 'indices': [43, 52]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/uRpWJsQjud', 'expanded_url': 'https://www.instagram.com/p/B-u1N-Rj5H5/?igshid=if10a1t1hky7', 'display_url': 'instagram.com/p/B-u1N-Rj5H5/…', 'indices': [72, 95]}]}",0,0,,Zae,177,30,3,2297,,"[-84.41285567, 33.7574752]"
2020-04-03 20:18:02+00:00,1246170114774401027,"The first pasture we passed was with the donkeys, who seem to be naturals at this social distancing thing we’re all having to do now. 
2014 Hawaiian Adventure Tour with @collettetravel #wewilltravelagain… https://t.co/k0R9aPDuYW","first pasture passed donkeys seem naturals social distancing thing ’ hawaiian adventure tour collettetravel wewilltravelagain…
","{'hashtags': [{'text': 'wewilltravelagain', 'indices': [185, 203]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ColletteTravel', 'name': 'Collette', 'id': 37956423, 'id_str': '37956423', 'indices': [169, 184]}], 'urls': [{'url': 'https://t.co/k0R9aPDuYW', 'expanded_url': 'https://www.instagram.com/p/B-iCauhptoT/?igshid=z3xnq0o0thq1', 'display_url': 'instagram.com/p/B-iCauhptoT/…', 'indices': [205, 228]}]}",0,0,25013,Julie Ann Bloniasz,149,418,6,1689,"Springfield, MA","[-159.38986676, 21.97451077]"
2020-04-03 20:18:59+00:00,1246170353967280134,"#tb #Tgif #yourfavoritetwinstarsameliaandadinah #twininfluencers #ameliaandadinah #twinlife #twins #filam We hope after all the smoke of covid-19 that we’ll all get back to a new norm in our world. For now, stay safe… https://t.co/Arw5lQytly","tb tgif yourfavoritetwinstarsameliaandadinah twininfluencers ameliaandadinah twinlife twins filam hope smoke ’ get back new norm world stay safe…
","{'hashtags': [{'text': 'tb', 'indices': [0, 3]}, {'text': 'Tgif', 'indices': [4, 9]}, {'text': 'yourfavoritetwinstarsameliaandadinah', 'indices': [10, 47]}, {'text': 'twininfluencers', 'indices': [48, 64]}, {'text': 'ameliaandadinah', 'indices': [65, 81]}, {'text': 'twinlife', 'indices': [82, 91]}, {'text': 'twins', 'indices': [92, 98]}, {'text': 'filam', 'indices': [99, 105]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Arw5lQytly', 'expanded_url': 'https://www.instagram.com/p/B-iCBE1gmnk/?igshid=t7dd2xlxqkef', 'display_url': 'instagram.com/p/B-iCBE1gmnk/…', 'indices': [218, 241]}]}",0,1,,AmeliaAndAdinah,329,110,36,15076,,"[-121.8865, 37.3376]"
2020-04-03 20:19:35+00:00,1246170504488091648,"My little angel 👼 Chloe is finally here!  I love my girls @christiehuynh , Chloe, and Ellie. #coronavirus #quarantine #kaiser #kaiserpermanente #shessocute #shessobeautiful… https://t.co/V2T2JqHEVG","little angel 👼 chloe finally love girls christiehuynh chloe ellie quarantine kaiser kaiserpermanente shessocute shessobeautiful…
","{'hashtags': [{'text': 'coronavirus', 'indices': [93, 105]}, {'text': 'quarantine', 'indices': [106, 117]}, {'text': 'kaiser', 'indices': [118, 125]}, {'text': 'kaiserpermanente', 'indices': [126, 143]}, {'text': 'shessocute', 'indices': [144, 155]}, {'text': 'shessobeautiful', 'indices': [156, 172]}], 'symbols': [], 'user_mentions': [{'screen_name': 'christiehuynh', 'name': 'Chris T', 'id': 23372314, 'id_str': '23372314', 'indices': [58, 72]}], 'urls': [{'url': 'https://t.co/V2T2JqHEVG', 'expanded_url': 'https://www.instagram.com/p/B-iBeF4ArPAPes1MYQU95JOo4uDq9M1CfHYEGw0/?igshid=1okykqi96q0h7', 'display_url': 'instagram.com/p/B-iBeF4ArPAP…', 'indices': [174, 197]}]}",0,1,6059,Daniel TNG real estate,33,211,1,1,"Yorba Linda, CA","[-117.8445751, 33.85197354]"
2020-04-03 20:22:11+00:00,1246171158824865793,Life Before COVID 19 and After copper3d_global #nanohack2 #doge @ Munchie's Food Store https://t.co/HDA20jt5mM,"life copperdglobal nanohack doge munchies food store
","{'hashtags': [{'text': 'nanohack2', 'indices': [47, 57]}, {'text': 'doge', 'indices': [58, 63]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/HDA20jt5mM', 'expanded_url': 'https://www.instagram.com/p/B-iC5Fsh2pZ/?igshid=519uxhfam9uq', 'display_url': 'instagram.com/p/B-iC5Fsh2pZ/…', 'indices': [87, 110]}]}",0,0,1117,sunshine,52,135,0,241,"Birmingham, AL","[-86.77253, 33.52226]"
